term,explicit
fuck,1
fuck you,1
fuck off,1
motherfucker,1
asshole,1
a-hole,1
dipshit,1
shit,1
bullshit,1
bitch,1
bastard,1
jerk,1
scumbag,1
mouth breather,1
slut,1
whore,1
porn,1
porno,1
xxx,1
nude,1
nudes,1
sex,1
hookup,1
one night stand,1
netflix and chill,1
hit it,1
get laid,1
sleep with,1
hot stuff,1
send pics,1
thirsty,1
spicy,1
turn on,1
come over tonight,1
late night fun,1
kill yourself,1
go die,1
end your life,1
suicide,1
nigga,1
nigger,1
kike,1
chink,1
paki,1
faggot,1
retard,1
chutiya,1
madarchod,1
behenchod,1
bhosdike,1
harami,1
kamina,1
randi,1
gandu,1
lodu,1
lund,1
gaand,1
maal hai,1
setting hai,1
raat ko aana,1
🍑,1
🍆,1
💦,1
😈,1
🔥,1
😘,1
🥵,1
😏,1
🍑🍆,1
😈🔥,1
💦🍆,1
😏🍑,1
hello,0
thank you,0
please,0
sorry,0
book,0
music,0
movie,0
education,0
project,0
meeting,0
deadline,0
assignment,0
learning,0
friend,0
family,0
career,0
future,0
happy,0
sad,0
excited,0
tired,0
👍,0
😊,0
🙂,0
🎉,0
📚,0
💻,0
🎵,0
cum,1
cumming,1
arsehole,1
arse hole,1
cunt,1
pussy,1
s*x,1
b@sr@rd,1
depression,0
fucked up,1
sexy,1
hot damm,1
I will do you,1
dickhead,1
miss you,0
love you,0
cock,1
dick,1
dick is hard,1
turned on,1
happy,0
sad,0
hospital,0
holy shit,1
fucked,1
fucker,1
hooker,1
sugar daddy,1
sugar mommy,1
sugar baby,1
only fans,1
of model,1
leaked,1
leaks,1
dm me,1
dirty talk,1
roleplay,1
sext,1
sexting,1
hook up,1
make out,1
foreplay,1
strip,1
stripping,1
hardcore,1
softcore,1
cam girl,1
cam boy,1
webcam sex,1
adult content,1
explicit,1
nsfl,1
18+,1
age play,1
kink,1
fetish,1
bdsm,1
dominant,1
submissive,1
dirty pics,1
pics or it didnt happen,1
send snaps,1
snap me,1
private pics,1
secret chat,1
late night chat,1
shame on you,1
pathetic,1
trash person,1
cancel you,1
exposed,1
ratioed,1
get lost,1
touch grass,1
cry more,1
snowflake,1
kms,1
kys,1
die already,1
hang yourself,1
bloodbath,1
massacre,1
execute,1
beheading,1
shooting,1
gun down,1
knife attack,1
smoking weed,1
high rn,1
drunk af,1
wasted,1
getting drunk,1
party hard,1
shots fired,1
bar hopping,1
night clubbing,1
study vlog,0
productivity,0
morning walk,0
healthy habits,0
workout routine,0
yoga session,0
meditation,0
coding practice,0
open source,0
github repo,0
tech news,0
ai research,0
machine learning,0
deep learning,0
data science,0
college assignment,0
exam prep,0
interview prep,0
career goals,0
personal growth,0
self improvement,0
positive vibes,0
good energy,0
weekend chill,0
movie night,0
family time,0
friend hangout,0
music playlist,0
reading books,0
online class,0
virtual meeting,0
project update,0
team discussion,0
brainstorming,0
innovation,0
🌱,0
🌈,0
📖,0
🧠,0
🧘,0
🏃,0
🎧,0
🎬,0
📊,0
📝,0
gangbang,1
orgy,1
incest,1
rape,1
molest,1
sexual assault,1
forced sex,1
revenge porn,1
deepfake nude,1
explicit video,1
science fair,0
college fest,0
hackathon,0
tech talk,0
guest lecture,0
seminar,0
workshop,0
certificate,0
online course,0
skill building,0
nsfw,1
booty,1
boobs,1
butt,1
hot pics,1
spicy chat,1
friends with benefits,1
fwb,1
makeout,1
kiss me,1
touchy,1
naughty,1
adult stuff,1
after dark,1
bedroom talk,1
private chat,1
horny vibes,1
seductive,1
tempting,1
sultry,1
good morning,0
coffee break,0
project work,0
library,0
notebook,0
study group,0
presentation,0
debugging,0
resume,0
portfolio,0
conference,0
internship,0
placement,0
whiteboard,0
notes,0
revision,0
schedule,0
planner,0
😉,1
❤️‍🔥,1
☕,0
📅,0
🎯,0
✅,0
✨,0
come over,1
late night vibes,1
after hours,1
behind closed doors,1
things got heated,1
cant resist,1
feels naughty,1
tempted tonight,1
slide into dms,1
you know what i mean,1
cock blocking,1
cock sucking,1
suck it ,1
suck my dick,1
lead you with your dick,1
scissoring,1
leader,0
booty call,1
masturbation,1
masturbate,1
touch yourself,1
stroking,1
blowjob,1
handjob,1
deep throating,1
cum down throat,1
pussy licking,1
clit,1
cherry popping,1
I will pop your cherry,1
take your virginity,1
prostitute,1
🌱,0
🎧,0
office,0
brothel,1
cuddle,0
pervert,1
dry hump,1
dry humping,1
deep thrust,1
deep thrusting,1
dildo,1
vibrator,1
sex toy,1
sex toys,1
provocative,1
innuendo,1
double meaning,1
intimacy,1
desire,1
passion,1
arousal,1
sensual,1
lust,1
teasing,1
temptation,1
chemistry,1
spark,1
heat,1
late night,1
kissing,1
touching,1
erotic,1
adult,1
university,0
lecture,0
syllabus,0
semester,0
attendance,0
examination,0
evaluation,0
laboratory,0
experiment,0
research,0
analysis,0
development,0
algorithm,0
database,0
networking,0
testing,0
deployment,0
documentation,0
workflow,0
collaboration,0
teamwork,0
planning,0
calendar,0
review,0
💋,1
🫦,1
📈,0
⏰,0
seduction,1
erogenous,1
sensuous,1
provoking,1
risque,1
alluring,1
enticing,1
flirtation,1
passionate,1
steamy,1
sizzling,1
bedroom,1
undressed,1
bare,1
intimate talk,1
suggestive tone,1
private moments,1
late hours,1
secret desires,1
mutual attraction,1
physical closeness,1
romantic tension,1
heated,1
adult chat,1
sensual touch,1
sexual tension,1
academics,0
curriculum,0
coursework,0
timetable,0
lecture hall,0
faculty,0
department,0
credits,0
grading,0
assessment,0
course outcome,0
learning objectives,0
computer lab,0
software,0
hardware,0
operating system,0
compiler,0
interpreter,0
version control,0
repository,0
issue tracking,0
bug report,0
code review,0
standup meeting,0
roadmap,0
milestone,0
deliverable,0
report writing,0
🥴,1
😮‍💨,1
